"question","answer"
"YAPAY ZEKA DESTEKLİ DİĞER 
İNTİHAL TESPİT YAZILIMLARI","GPTZero
Originality.ai
Content at Scale"
"GPTZero","ChatGPT metinlerini tespit, Yapay zeka
üretimi içerik analizi, Doğal dil işleme,
Örüntü tanıma özelliklerine sahiptir."
"Originality.ai","AI üretimi içerik tespiti, Çoklu dil desteği,
Detaylı analiz raporları, Stili analiz etme"
"Content at Scale","AI içerik dedektörü, İçerik orijinallik 
kontrolü, Semantik analiz, Dil modeli 
tespiti "
"FEN BİLİMLERİ ENSTİTÜSÜ 
BENZERLİK POLİTİKASI","• Bir Yüksek Lisans veya Doktora Tez
çalışmasının benzerliği kaynaklar hariç
<%20 olmalıdır. Tek kaynaktan
benzerlik ise <%5 olmalıdır.
• Benzerlik İncelemesi Enstitü tarafından
yapılır."
"BİLİMSEL YAYIN ETİĞİ","Bilimsel araştırma ve yayın etiği birlikte değerlendirilir. Bilimsel
yayınlarda akademik değerlerin korunması elzemdir. Bilimsel
araştırmada etik dışılık var ise doğal olarak yayına da
Yansıyacaktır Bir araştırmada uygulanacak temel ilkeler:
araştırmanın tasarımı ve yürütülmesinde gerekli yeterliliğe sahip
olmak, araştırmanın yapılışı ve bulguların analizi sırasında
özeleştiri, dürüstlük ve saydamlığı korumak, aynı konuda
araştırma yapmış veya yapmakta olanların çalışmalarına saygılı
olmak, araştırmaya katılan herkesin katkısını görünür kılmaktır
Bir araştırmaya başlarken öncelikle araştırma sürecindeki
görevler ve yayında oluşan hakların dağılımı belirlenmelidir."
"Bilimsel yayının amacı","Üretilen ve geliştirilen bilginin,
bilgi birikiminin paylaşılarak yayılmasını ve bilimin
insanlık yararına geliştirilmesini sağlamaktır Bu amaç
doğrultusunda hazırlanan bilimsel bir yayında, yayının
içindeki bilgilerin doğru ve tam olması, yayının kasıtlı
olarak eksik bilgi içermemesi, bilgilerin üretimi ve
geliştirilmesi aşamalarında “bilimsel etiğe” uygun
davranılması gereklidir."
"Bilimsel bir yayında bulunması gereken vazgeçilmez 
özellikler","1. Yayındaki bilgi doğrudur ve kasıtlı olarak eksik bilgi içermez.
2. Bilgilerin üretimi ve geliştirilmesi aşamalarında “bilim etiğine” uygun
davranılır
3. Bilimsel sistematik içinde elde edilen veriler ve bulgular yayınlanabilir.
4. Kişisel çıkarlar, kaygılar, yayını etkilemez. Yayın tarafsızdır.
5. Yayında yararlanılan bütün kaynaklar atıf yapılarak belirtilir. Yayında
herkesin erişemeyeceği, gizliliği olan kaynaklar kullanılmamalıdır
6. Yayındaki bilginin üretilmesinde, derlenmesinde, ölçülmesinde ve
yayına hazırlanmasında payı olanların katkıları, yazar olarak ya da
teşekkür edilerek belirtilir."
"Bilimsel Yayın etiğinden Sorumlular","• Araştırmacılar (yazarlar) 
• Editörler 
• Yayın kurulları 
• Danışmanlar (hakemler) 
• Destekleyen kurumlar (kişiler) 
• Bilim politikalarını belirleyenler (yöneticiler) 
• Okuyucular"
"Bilimsel Değerlendirme Etiği","Bilimsel yayınlarda editörlük ve hakemlik önemli sorumluluktur
ve etik ilkelere uyulması vazgeçilmezdir. Editör ve hakemler
derginin ilke ve standartlarını korur Editörler hakemlerin
görüşlerini alarak gönderilen makalelerin yayınlamasına karar
verirler Bilimsel yayınlardaki etik dışılıklarda editöre büyük
sorumluluk düşmektedir. Okuyucunun bir bilimsel yayında
saptadığı etik yanıltmayı bildirmesi ve sonucu takip etmesi
bilimsel dürüstlük gereğidir Editör bu bildirimleri ciddiyetle
incelerler (inceletir), sonuçları ilgiliyle ve etik dışılık
doğrulanırsa kamuoyu ile paylaşır."
"Editörlerin uyması gereken etik ilkeler","• Basılmamasına inandıkları makaleleri iade ederler. Diğerlerini
daha iyi değerlendirecek hakem(ler)e gönderirler
• Ret gerekçeleri (derginin konusu ile ilgili olmayışı, Yazılış-
içerik-düzenlemenin uygun olmaması, belirgin hataların
bulunması vb.) bildirilirken kırıcı olmayan, küçümsemeyen
uygun dil kullanılır
• Araştırma verilerini, yazarın verilerini korumakla yükümlüdür.
Gönderilen makaleler ile ilgili gizliliğe özen gösterilim Gizlilik
prensipleri ret veya yayından sonra da sürmelidir."
"Hakemlerin uyması gereken etik ilkeler","• Tarafsızlığı ve makaleden kendisine çıkar sağlamaması esastır.
• Makaleyi ciddiyetle inceler, gerektiğinde makalenin yazım ve kısaltma
düzeltmelerine katkı sağlar, ancak bunu yaparken araştırmanın özüne
dokunmamalıdır.
• Yayınlanması veya yayınlanmaması önerilerini açıkça rapor eder.
Gerekçeleri yazmak etik sorumluluktur. Raporunda uygun dil
kullanmalıdır.
• Makaleye yönelik eleştiriler nesnel, dengeli, yazara değil de metne
yönelik olmalıdır.
• Hakemler makaleyi ret ederken ilkeli ve gerçeğe uygun davranmalıdır
(Makale uzun ve detaylı, bilinenlere katkı sağlamıyor, kaynaklar ile
makale arasında uyumsuzluk olması vb.)."
"BİLİMSEL ARAŞTIRMA MAKALESİ","Bilimsel makale, orijinal araştırma/deneme/analiz
sonuçlarını ilgili konuda uzman hakemlerin
değerlendirmesinden sonra ortaya çıkan bir
rapordur.
Bir makale; konu ile ilgili çalışanlara, gözlem ve
araştırma bulgularını değerlendirme ve
gerektiğinde çalışmayı tekrarlama imkanı
vermelidir."
"BİLİMSEL MAKALENİN ÇATISI","Bilimsel çalışmalar belirli format ya da düzen
içinde anlatılmalıdır.
Bilimsel makalelerde ana çatı için ilk olarak IMRAD
(Introduction-Giriş, Methods-Metot, Results-Sonuçlar
and Discussion-Tartışma) formatı akla gelmektedir. İlk
önce başlık ve kısa özet sonra IMRAD formatı
kullanılır."
"IMRAD","IMRAD bilimsel makale yazım formatıdır.
• IMRAD 1940'larda gelişmeye başladı.
• 1970'lerde yaygın kullanıma girdi.
• Tek bir mucidi yoktur.
• Bilimsel toplulukların ortak gelişimi
sürecinde şekillenmiştir."
"BİLİMSEL MAKALEDE BÖLÜMLER","• MAKALE BAŞLIĞI
• YAZAR ADLARI VE SIRALAMASI
• ÖZET-ANAHTAR KELİMELER
• GİRİŞ (INTRODUCTION)
• METOD-YÖNTEM (METHODS)
• SONUÇ (RESULTS)
• TARTIŞMA (DISCUSSION)
• TEŞEKKÜR
• KAYNAKLAR"
"BİLİMSEL MAKALENİN BAŞLIĞI","Bir makalenin başlığını binlerce kişi, makalenin
kendisini ise çok daha az kişi okur.
Başlık Hazırlama:
Makale için en önemli unsurlardan biri
başlıktır. Çoğu kişi ilk önce makalenin
başlığını okuyacaktır. Başlıktan aldığı
izlenime göre okuyup okumayacağına karar
verebilir."
"Başlık Hazırlama sonunu düşünmeli","Başlıkların; kısaltmalar, kimyasal formüller,
patentli (genel olmaktan ziyade) isimler,
jargon ve benzerlerini hemen hemen asla
içermemesi gerekir. Kısaltma kullanılacaksa
genel olmalı, birden fazla olmamalıdır.
Başlık makale yazımının sonunda düşünülmelidir."
"MAKALE YAZARI","Araştırmanın tasarımı ve gerçekleştirilmesine 
aktif olarak katılan kişilerdir.
• İsmi olan her yazarın, anlatılan çalışmaya önemli
katkıda bulunmuş olması gerekir.
• Yazar sıralaması, tam bir anlaşma ile çalışma
başlamadan önce planlanmalı ve belirlenmelidir. Daha
sonra, araştırmanın aldığı yöne göre bir değişiklik
gerekli olabilir.
• Yazarların unvanı yazılmamalıdır."
"MAKALE YAZAR SIRALAMASI","a) Katkı Düzeyi: 
• Araştırmaya en çok katkı yapan ilk yazar
• Projeyi yöneten/süpervize eden son yazar
• Diğerleri katkı oranına göre sıralanır
b) Sorumlu Yazarlık: 
• Yazışmalardan sorumlu yazar (genelde ilk veya son)
• İletişim yazarı olarak belirlenir
• Makale sürecini yönetir"
"BİLİMSEL MAKALEDE YAZAR 
SIRALAMASINDA ETİK İHLALLER","HEDİYE YAZARLIK 
• Araştırmaya katkısı olmayan kişilerin yazar olarak eklenmesi
• Statü/pozisyon nedeniyle isim ekleme
• Karşılıklı çıkar için yazar ekleme
• Üst düzey akademisyenlerin baskısıyla isim ekleme
HAYALET YAZARLIK
• Önemli katkısı olan kişilerin yazar listesinden çıkarılması
• Asıl yazarın gizlenmesi
• Katkı yapanların göz ardı edilmesi
• Alt kademe araştırmacıların dışlanması
SIRA MANİPÜLASYONU
• Katkı oranlarının yanlış yansıtılması
• Akademik unvana göre sıralama
• Güç kullanarak sıra değiştirme
• Haksız ilk yazarlık"
"BİLİMSEL MAKALEDE 
ÖZET (ABSTRACT)","Makalenin küçültülmüş hali olarak tanımlanır. Makalenin
ana kısımlarının özetini içermelidir. Yazılan makalede
neyin anlatıldığını belirtmeli ve 250 kelimeyi
geçmemelidir. Kısa özet içerisinde araştırmanın amacı,
kullanılan metodoloji tanımlanmalı, bulgular özetlenmeli
ve son olarak genel bir sonuç verilmelidir. Kısa özet,
bilimsel makalenin tamamını okuma ihtiyacı doğurması
gerekir. Konuyla ilgili gereksiz ayrıntılara bu alanda yer
verilmemelidir."
"ÖZET (ABSTRACT) ÖRNEĞİ","Anahtar kelime (Key Words), bir metin içerisinde yer
alan ve o metne hızlı bir şekilde ulaşmayı sağlayan
sözcük ya da sözcük gruplarına verilen isimdir."
"BİLİMSEL MAKALEDE KONU SINIFLANDIRMASI","• JEL (Journal of Economic Literature): Ekonomi alanında
• UNESCO Thesaurus: Çok disiplinli alanlarda
• Medical Subject Headings (MeSH): Tıp ve Sağlık Bilimleri alanında
• Mathematics Subject Classification (MSC): Matematik alanında
• PACS (Physics and Astronomy Classification Scheme): Fizik alanında
• CAS (Chemical Abstracts Service): Kimya alanında
• BIOSIS: Biyoloji alanında
• GeoRef Thesaurus: Jeoloji alanında
• ADS (Astrophysics Data System): Uzay Bilimleri alanında
• Materials Science Index: Malzeme Bilimleri alanında
• ACM Computing Classification System: Bilgisayar Bilimleri alanında
• ERIC Thesaurus: Eğitim Alanında
• PsycINFO Thesaurus: Psikoloji alanında
• ASA: Sosyoloji alanında
• IPSA: Siyaset Bilimi alanında
• OSCOLA: Hukuk alanında"
"BİLİMSEL MAKALEDE KONU 
SINIFLANDIRMASI","FILOMAT isimli bilimsel dergide 2024 yılında basılan bir
makalenin ilk sayfasında yer alan aşağıdaki görselde Anahtar
kelimelerin üzerinde MSC numaraları görünmektedir."
"BİLİMSEL MAKALEDE KONU 
SINIFLANDIRMASI ÖNEMİ","Anahtar kelimeler için konu sınıflandırma sistemleri, akademik çalışmaların
sistematik bir şekilde düzenlenmesi, erişilebilirliği ve kategorize edilmesi
açısından büyük önem taşır. Standartlaştırılmış konu sınıflandırmaları,
araştırmacıların çalışmalarını doğru kategorilere yerleştirmelerini sağlayarak,
hedef kitlenin bu çalışmalara daha kolay ulaşmasını mümkün kılar. Bu
sistemler ayrıca disiplinler arası çalışmaların doğru şekilde indekslenmesine,
bibliyometrik analizlerin yapılmasına ve araştırma trendlerinin belirlenmesine
olanak tanır. Özellikle dijital veri tabanlarında ve akademik arama
motorlarında, standart konu sınıflandırmaları, araştırma çalışmalarının daha
etkin bir şekilde taranmasını ve bulunmasını sağlar. Bu da bilimsel iletişimi
güçlendirir, araştırma verimliliğini artırır ve akademik bilgi birikiminin daha
sistemli bir şekilde gelişmesine katkıda bulunur."
"BİLİMSEL MAKALEDE GİRİŞ","Bir metnin ilk kısmını ifade eder. IMRAD formatının ilk aşamasıdır.
Başlık ve kısa özetten sonra gelir. Giriş kısmı yazılırken geniş
zaman kullanılmalıdır. En önemli amacı makaleyi neden yazdığınızı
kısaca belirtmenizi sağlar. Problemin ne olduğu ve kapsamı
hakkında bilgi verilen bir bölümdür. Araştırmada hangi yöntemin
kullanıldığına dair bilgi verilmelidir. Araştırmada ortaya çıkan ana
bulguların yazılması gerekir. Bulgularla beraber ana sonuçlar da
belirtilmelidir. Bazı yazarlar makale giriş bölümünde en önemli
buluşlarını belirtmezler. Bu bilim insanları tarafından doğru
bulunmaz. Genel olarak bu kuralların giriş bölümünde olması kabul
edilir."
"BİLİMSEL MAKALEDE YÖNTEM","IMRAD formatına göre ikinci aşama yöntem
bölümüdür. İlk aşama olan giriş kısmında
hangi yöntemi seçtiğinizi belli etmiştiniz.
Yöntem bölümünde ise bütün ayrıntıları dahil
ederek anlatmanız gerekir. Bu bölümü
yazarken geçmiş zamanda yazmanız gerekir.
Araştırmanın nasıl yapıldığına dair bilgiler
içermesi gerekir."
"BİLİMSEL MAKALEDE SONUÇLAR (RESULTS) BÖLÜMÜ","Sonuç yazma kısmı belki de bilimsel makalenin en önemli kısmıdır. Sonuç
kısmı yazılırken geniş zaman kullanmalıdır. Sonuçlar belirtilirken kısa, açık
ve basit olarak yazılmalıdır. Sonuç kısmında sürekli birbirini tekrar eden
verileri kullanmak yerine örnek veriler kullanılmalıdır.
Bilimsel makale içerisinde yapılan deneyin genel tanımı
verilmelidir. Deneyle ilgili ayrıntılara yer verilmemelidir. Eğer tablo,
şekil vb. kullandıysanız ve tablo, şekil vb. gösterilen veriler gayet açık
ise tekrardan bu verileri metin olarak yazmanıza gerek yoktur. IMRAD
formatına göre sıralandığında makale başında yer alan giriş ve
yöntem kısmının sonuç kısmı ile bağıntısı vardır. Giriş ve yöntem
kısmı, sonuçları neden ve nasıl elde edildiğini belirtmek için
tasarlanmıştır."
"BİLİMSEL MAKALEDE TARTIŞMA (DISCUSSION) BÖLÜMÜ","IMRAD formatının son kısmıdır. Diğer kısımlara göre yazılması daha
zordur. Sonuçlarda yer almayan hiçbir bulguya yer verilmemelidir.
Makalede daha önce belirtilenler bu bölümde tekrarlanmamalıdır.
Literatür karşılaştırması yapılmalı ve karşılaştırma yapılırken sadece
sonuç destekleyenler kullanılmamalıdır.
Sonuçların önceden yayınlanmış yayınlarla uyum içinde olduğu
veya zıt olduğu belirtilmelidir. Varılan neticeler oldukça açık bir
şekilde ifade edilmelidir. Tartışmada geçmiş zaman ve geniş
zaman kullanılmaktadır. Başkalarının çalışmaları anlatırken
geniş zaman, kendi çalışma sonuçlarınızdan bahsederken
geçmiş zaman kullanılmalıdır."
"BİLİMSEL MAKALEDE 
TEŞEKKÜR-ACKNOWLEDGEMENT","Bilimsel makalenin ana metni yukarıda belirtilen bölümlerden
oluşur. Teşekkür kısmında başka bir kişi tarafından alınan
yardım için teşekkür etmeniz gerekir. İkincisi ise makale yazma
aşamasında size maddi anlamda herhangi maddi destek
sağlayanlar varsa onlara teşekkür edilmelidir. Teşekkür etme
kısmı, bilimle ilgili değil nezaketle ilgilidir.
Bu bölümde araştırmaya destek verenlere teşekkür edilir. 
– Fikir desteği 
– İzin desteği 
– Uygulama desteği 
– Proje desteği v.s."
"BİLİMSEL MAKALEDE EK KISIMLAR","Bilimsel makalelerde özellikle son yıllarda
Teşekkür kısmına ilave olarak;
• Yazar katkıları,
• Finansman desteği,
• Çıkar Çatışması,
• Veri Uygunluğu,
kısımları da yer almaktadır."
"BİLİMSEL MAKALEDE KAYNAKLAR","Bir makalede kaynakların çok olması, bazen güvensizliğin göstergesidir. Kullanılan
ve yayınlanan kaynaklar verilmelidir. Yayınlanmamış verilere, Özet’lere, tezlere
mümkün olduğunca atıf yapılmamalı ve listeye eklenmemelidir veya metinde
parantez içinde veya dipnotu olarak verilmelidir.
Yararlanılan kaynağın gösterilmesinin nedenlerini 5 başlık altında toplayabiliriz. 
qAhlaki ve yasal zorunluluklar: Kaynak gösterme ahlaki borçtur ve yasal zorunluluktur.
qAraştırmanın bilimsel değerinin göstergesi olması: Araştırıcı ne kadar çok sayıda ve farklı orijinal
kaynaktan yararlanmışsa, çalışmasının bilimsel değeri o derece yüksek olur.
qAraştırıcının savunduğu görüşlerin doğruluğunu ve güvenirliliğini desteklemesi: Bilimsel
araştırmada yararlanılan kaynaklar, araştırmacının savunduğu görüşlerin güvenilirliğini
desteklerler.
qAraştırıcının yararlandığı kaynaklara hakimiyetini ve kaynaklara sadık kaldığının belirlenmesi:
Araştırıcının kaynakları kullanma biçimi o konuya hakim olup olmadığını gösterir.
qKendilerinden sonra araştırıcılara kaynak bulmada yardımcı olunur."
"BİLİMSEL MAKALEDE KAYNAKLAR
KAYNAK STİLLERİ","• APA: Amerikan Psychological Association (Amerikan 
Psikoloji Birliği),
• MLA: Modern Language Association (Modern Dil Birliği), 
• AMA: Amerikan Medical Association (Amerikan Tıp Birliği), 
• ASA: Amerikan Statistical Association (Amerikan 
İstatistikçiler Birliği),
• APSA: American Political Science Association (Amerikan 
Politik Bilimler Birliği),
• CHICAGO"
"APA KAYNAK STİLİ
APA (American Psychological Association)","APA,  tüm dünyada pek çok farklı disiplindeki
yazar tarafından özlü, güçlü ve ikna edici bilimsel iletişim için kullanılan bir atıf
yöntemidir. En çok sosyal bilimler alanında kullanılır. 7 Numaralı son sürümü, 2019
Ekim ayında yayınlanmıştır.
APA, metin içinde kaynaklara atıf yapmak
için yazar-tarih sistemini kullanır. Bu
yöntemde araştırmada yararlanılan her
bir kaynağın iki parçası vardır: Metin
içindeki atıf ve ona ilişkin kaynakça
girdisi. Bu doğrultuda okuyucu, (1) yazarın
soyadı, (2) yayın yılı ve (3) gerektiği
durumlarda sayfa numarası bilgisi ile
kaynakçadaki ilgili girdiye yönlendirilir."
"APA KAYNAK STİLİ
Kaynakça (Referans Listesi)","Araştırma metninin sonunda yer alır ve
okuyucuya araştırmada atıf yapılan kaynaklara erişim imkânı sağlar.
Atıf yapılan her bir kaynak kaynakçada yer almalıdır, aynı şekilde
kaynakçadaki her bir girdiye metinde atıf yapılmış olmalıdır.
• Kaynakça, yazar soyadına göre alfabetik sırada düzenlenir.
• Kaynakçada önce yazarın soy ismi yazılır, ardından yazarın ilk
ismini oluşturan kelime(ler)in ilk harf(ler)i gelir.
• Rakamla başlayan kaynakların alfabetik sıralamadaki yerini, bu
rakamın okunuş biçimi belirler.
• APA’nın 7. Sürümüne göre yayınevinin yer bilgisinin verilmesi
gerekli değildir."
"MLA KAYNAK STİLİ","METİN İÇİ ATIF FORMATI: 
• Yazar soyadı ve sayfa numarası (Smith 45)
• Yazar adı metinde geçiyorsa sadece sayfa (45)
• İki yazar: (Smith ve Jones 45)
• Üç ve üzeri yazar: (Smith vd. 45)
KAYNAKÇA FORMATI: 
• Kitap: Yazar Soyadı, Adı. Kitap Adı. Yayınevi, Yıl. 
• Örnek: Smith, John. Modern Edebiyat. Akademik Yayınlar, 2023. 
• Makale: Yazar Soyadı, Adı. ""Makale Adı."" Dergi Adı, Cilt, Sayı, Yıl, Sayfa 
aralığı. 
• Örnek: Jones, Mary. ""Edebiyat Teorisi."" Akademik Dergi, 5.2, 2023,  ss. 45-60."
"CHICAGO KAYNAK STİLİ","CHICAGO kaynak gösterme stili iki farklı sistem sunar:
1.YAZAR-TARİH SİSTEMİ: 
a) Metin İçi Atıf: 
1. (Yazar Yıl, Sayfa)
2. (Smith 2023, 45)
3. (Smith ve Jones 2023, 45)
4. (Smith vd. 2023, 45)
b) Kaynakça: Yazar Soyadı, Adı. Yıl. Başlık. Yer: Yayınevi. 
Smith, John. 2023. Modern Tarih. İstanbul: Akademik Yayınlar.
2. DIPNOT-KAYNAKÇA SİSTEMİ: 
a) Dipnot: 
1. Ad Soyad, Başlık (Yer: Yayınevi, Yıl), Sayfa.
2. John Smith, Modern Tarih (İstanbul: Akademik Yayınlar, 2023), 45.
b) Kaynakça: Soyad, Ad. Başlık. Yer: Yayınevi, Yıl. 
Smith, John. Modern Tarih. İstanbul: Akademik Yayınlar, 2023."
"KAYNAK STİLİ KULLANMANIN 
AVANTAJLARI","Kaynak gösterme stilleri, akademik yazımda standardizasyon ve
profesyonellik sağlayan önemli araçlardır. Bu stiller, araştırmacıların
çalışmalarını düzenli, tutarlı ve takip edilebilir bir formatta sunmalarına
olanak tanır. Ayrıca, kullanılan kaynakların doğru ve eksiksiz bir şekilde
belgelenmesini sağlayarak akademik dürüstlüğü destekler ve intihal riskini
azaltır. Standart kaynak gösterme stilleri, okuyucuların referans verilen
kaynaklara kolayca ulaşmasını sağlar ve araştırmanın güvenilirliğini artırır.
Disiplinler arası çalışmalarda bile ortak bir dil oluşturarak bilimsel iletişimi
kolaylaştırır ve araştırma sonuçlarının daha geniş bir akademik topluluk
tarafından anlaşılmasına ve değerlendirilmesine katkıda bulunur. Bu
nedenle, uygun bir kaynak gösterme stilinin kullanılması, akademik
çalışmaların kalitesini ve etkisini artıran temel bir unsurdur ."
"AKADEMİK ÇALIŞMALARDA REFERANS VE ATIFLAR","Akademik çalışmalarda ( Tez, Makale) referans ve atıflar,
etik kurallar ve aşırmacılık konusunda karşılaşılan büyük
bir sorunu engellemede önemli bir yere sahiptir. Bununla
birlikte, çalışmaların hazırlanmasında karşılaşılan
problemlerin başında her yayıncının farklı atıf ve referans
formatına sahip olması gelir.
Yazar veya yazarlar akademik çalışmalarını hazırlayıp
sonuçlarını yayınlatırken her yayıncının referans ve atıf
formatının farklı olması ekstra iş gücüne ve zaman
harcanmasına sebep olmaktadır."
"REFERANS VE ALINTI YÖNETİM SİSTEMLERİ","Yazarlar çalışmalarında alıntı ve referansları hazırlarken, daha
fazla zaman kaybedilmemesi için çeşitli firmalar tarafından
hazırlanmış olan atıf ve referans yönetim programlarını
kullanmaktadırlar.
• EndNote
• Mendeley
• RefWorks
• Zotero
Alıntı ve referans programları, yazarların yayıncılara ait alıntı ve referans yapma
stilini seçerek çalışmalarına otomatik olarak referans ve alıntı eklemesi, çevrimiçi
veri tabanlarından aratılan referansların araştırma dosyalarının içerisine
eklenmesi, birbirlerine göre sundukları ek hizmetler, fiyat, kullanım kolaylığı vb.
gibi açılardan farklılık göstererek kullanıcıların tercih odağı olmaktadır.
Belirtilen sistemlerden sadece 
MENDELEY Üniversitemiz 
kütüphanesinde ücretsiz 
ulaşılabilir olduğu için 
detaylandırılacaktır. "
"REFERANS VE ALINTI YÖNETİM SİSTEMLERİ EndNote","Yayınların yazımı esnasında alıntı ve referans düzenlemesinde kullanılan ve Thomson Reuters tarafından geliştirilen program EndNote’tur. Grafik, tablo, şekil ve formül içeriklerinin her birinin kendi altyazı ve anahtar kelimeleri ile düzenlenebildiği bu programda, Cite While You Write özelliği ile Microsoft Word’de atıf, şekil ve tablolar dizini oluşturabilir ve sunulan çok sayıda dergi formatında düzenleme imkânı sağlar. Bu program, EndNote Masaüstü uygulaması ve EndNote Web olarak iki farklı program parçasından oluşmaktadır.
EndNote Masaüstü ve EndNote Web, ücret, depolama alanı, kütüphane paylaşımı, çevrimiçi veri tabanı arama sayısı, tam metin araması yapabilme, barındırdıkları referans stilleri gibi konularda birbirinden
ayrılmaktadır."
"REFERANS VE ALINTI YÖNETİM SİSTEMLERİ MENDELEY","2008 yılında Elsevier tarafından geliştirilen Mendeley, Windows,
Mac ve Linux’ta çalışabilme özelliğine sahip olan bir alıntı ve
referans düzenleme programıdır. Belgeler arasında tam metin
araması yapabilen bu program, dosyaları otomatik isimlendirme
özelliğine sahip olup, web üzerindeki veri tabanlarından belge ve
araştırma yazılarını tarayıcı işaretleyicisi aracılığıyla
çekebilmektedir.
Diğer alıntı ve referans düzenleme programları gibi, PDF
dosyalarını düzenleme, not ekleme, alıntı ve referansları Microsoft
Word ile uyumlu bir biçimde çalıştırma ve çevrimiçi gruplarla
paylaşabilme özelliğine sahiptir."
"REFERANS VE ALINTI YÖNETİM SİSTEMLERİ MENDELEY-KURULUM","www.mendeley.com adresinden ”create a free account” kısmından F.Ü. mail
adresiniz ile bir hesap oluşturup programı bilgisayarınıza indirebilirsiniz. Kurumsal e-
mail adresiniz ile Mendeley’e giriş yaptığınız takdirde Mendeley kurumsal sürümü
kullanmaya hak kazanmış olacaksınız.
Eğer önceden kişisel e-mailiniz ile oluşturduğunuz bir hesabınız varsa, kurumsal e-
mail adresiniz ile oluşturacağınız yeni kütüphanenize daha önceden oluşturmuş
olduğunuz kütüphanenizi aktarmak için;
Eski kütüphanenizi açıp file kısmından export’a basarak tüm yayınlarınızı .bib
formatındaki bir dosyaya aktarıp kurumsal e-mailiniz ile yeni oluşturduğunuz
kütüphaneyi açıp +Add new alanındaki import library kısmından ilgili formatdaki
dosyayı seçerek tüm yayınları aktarabilirsiniz.
Mendeley üç platform üzerinden birbiri ile senkronize olarak çalışabilmektedir:
• Mendeley web
• Mendeley desktop
• Mendeley cep"
"REFERANS VE ALINTI YÖNETİM SİSTEMLERİ MENDELEY-KÜTÜHANE OLUŞTURMAK","Kütüphanenizi 
oluşturmak için farklı 
seçenekler vardır;
1- Bilgisayarınızdaki 
mevcut klasörler 
içerisindeki yayınları 
eklemek için ilgili 
klasörü açarak klasör 
içinden istenilen yayınlar 
seçilip Mendeley
kütüphanenize 
sürükleyip bırakarak 
doğrudan aktarılabilir. 
Mendeley, akademik 
web sitelerinden 
indirilmiş olan yayınların 
metadatasını otomatik 
olarak belge içerisinden 
harmanlar."
"REFERANS VE ALINTI YÖNETİM SİSTEMLERİ MENDELEY-ATIF YAPMAK","Microsoft Word’de Mendeley
eklentisini oluşturmak 
için Mendeley Desktop’tan bir 
kereye mahsus olmak üzere 
Tools sekmesinin altındaki 
“Install Mendeley Cite for
Microsoft Word” alanına 
tıklamak gereklidir. Microsoft 
Word açıldığında Başvurular 
altında Mendeley Cite-O-Matic
alanı görülecektir.
Atıf yaparken MS Word’de ilgili 
cümleler yazılıp ”Mendeley
Cite”’a tıklandığında ekranın 
sağ tarafında açılan 
pencereden ilgili referans ya da 
referanslar bulunup 
işaretlenerek Insert’e
tıklandığında atıf yapılmış olur."
"REFERANS VE ALINTI YÖNETİM SİSTEMLERİ MENDELEY-KAYNAKÇA OLUŞTURMAK","Microsoft Word’deki 
“Mendeley Cite-O-
Matic” alanından “Insert
Bibliography” 
dediğimizde metin 
içerisinde yapılmış olan 
tüm atıflardan bir 
bibliyografi otamatik
olarak oluşur.
Mendeley’de 8.000’in 
üzerinde atıf stili 
bulunmaktadır. “citation
style” alanından ya da 
Word’deki “Mendeley
Cite-O-Matic” alanından 
style alanından tüm 
stiller görülebilir ve 
istenilen stilde atıf 
verilebilir."
"REFERANS VE ALINTI YÖNETİM SİSTEMLERİ
RefWorks","2001 yılında ProQuest LLC tarafından geliştirilen RefWorks,
web tabanlı bir alıntı ve referans düzenleme programıdır.
Çevrimiçi bir şekilde kişisel bir veri tabanı oluşturup organize
etmeye yarayan bu program, çevrimiçi olan ve veri
tabanlarında tam metin arama özelliğine sahip Flow ve
çevrimdışı çalışma olanağı sağlayan Write-AndCite adlı iki
farklı hizmet sunmaktadır.
Birden fazla işletim sisteminde çalışabilen RefWorks,
Microsoft Word ile uyumlu bir şekilde çalışarak alıntı ve
referans düzenlemeye, depolamaya ve bu belgeleri çevrimiçi
gruplarla paylaşmaya olanak sağlar."
"REFERANS VE ALINTI YÖNETİM SİSTEMLERİ
Zotero","Zotero, alıntı ve referans bilgilerini toplamak ve yönetmek için kullanılan,
açık kaynak kodlu bir alıntı ve referans düzenleme programıdır. 2006
yılında George Mason Üniversitesi tarafından geliştirilen Zotero, web
sayfalarından, kütüphane kataloglarından, veri tabanlarından otomatik
olarak alıntı yapmak, saklamak ve kullanıcıların kendi araştırma notlarını
kaydetmek gibi iyi tasarlanmış özellikleriyle diğer alıntı ve referans
programlarından sıyrılmaktadır. Neredeyse her yayının yazım aşamasında
kullanılmakta olan MS Word ile uyumlu bir şekilde çalışabilen bu program,
Modern Language Association (MLA – Modern Dil Kurumu), American
Psychological Association (APA – Amerikan Psikolojik Kurumu) ve
Chicago stilleri başta olmak üzere birçok farklı stilde kaynakçayı otomatik
olarak oluşturabilmesinin yanı sıra, PDF, resim, ekran alıntısı gibi dosya
türlerini de kaydedebilmektedir."
